Episode,Env,Steps,Reward
0,1,327,1.0
1,0,412,1.0
2,0,439,1.0
2,0,155,1.0
3,0,91,1.0
5,0,281,1.0
5,0,165,1.0
5,0,130,1.0
6,0,223,1.0
6,1,149,1.0
7,0,380,1.0
7,0,41,1.0
7,0,70,1.0
7,1,1,1.0
8,1,216,1.0
8,0,134,1.0
9,0,215,1.0
9,1,17,1.0
10,1,338,1.0
10,0,81,1.0
11,0,297,1.0
12,1,379,1.0
12,0,65,1.0
12,1,54,1.0
12,1,47,1.0
12,0,13,1.0
12,0,66,1.0
14,1,348,1.0
14,0,71,1.0
14,1,70,1.0
14,0,42,1.0
15,1,310,1.0
16,1,377,1.0
16,1,206,1.0
17,1,333,1.0
20,1,238,1.0
20,0,11,1.0
21,1,52,1.0
21,0,44,1.0
22,0,370,1.0
22,0,83,1.0
22,1,15,1.0
24,0,433,1.0
26,0,453,1.0
28,1,118,1.0
28,1,110,1.0
29,1,354,1.0
30,1,216,1.0
30,0,30,1.0
30,1,382,1.0
32,1,62,1.0
32,0,484,1.0
34,0,84,1.0
35,0,78,1.0
35,0,180,1.0
36,1,82,1.0
36,0,30,1.0
37,1,103,1.0
37,0,203,1.0
38,0,147,1.0
38,1,27,1.0
39,0,251,1.0
39,1,141,1.0
39,1,69,1.0
40,1,196,1.0
41,1,182,1.0
41,1,142,1.0
42,1,150,1.0
42,1,163,1.0
43,0,39,1.0
43,0,62,1.0
44,1,140,1.0
45,1,67,1.0
45,0,5,1.0
45,1,138,1.0
45,0,127,1.0
45,1,107,1.0
46,0,201,1.0
46,0,249,1.0
46,1,84,1.0
46,1,52,1.0
47,1,175,1.0
48,1,428,1.0
48,1,211,1.0
48,0,137,1.0
49,1,121,1.0
49,1,286,1.0
49,0,86,1.0
50,0,191,1.0
50,0,81,1.0
50,1,141,1.0
50,0,41,1.0
51,1,289,1.0
51,1,128,1.0
51,0,20,1.0
52,1,218,1.0
52,1,194,1.0
52,0,76,1.0
53,0,388,1.0
54,0,322,1.0
54,1,315,1.0
55,1,52,1.0
56,0,47,1.0
56,0,56,1.0
57,0,214,1.0
57,1,56,1.0
57,1,141,1.0
58,1,118,1.0
58,1,100,1.0
58,1,206,1.0
58,1,107,1.0
59,0,33,1.0
61,0,43,1.0
62,1,345,1.0
63,0,13,1.0
63,1,18,1.0
64,1,265,1.0
64,1,21,1.0
64,0,280,1.0
65,1,66,1.0
66,0,146,1.0
66,0,196,1.0
67,1,64,1.0
72,0,357,1.0
74,0,100,1.0
75,0,251,1.0
76,0,411,1.0
80,0,59,1.0
80,0,14,1.0
85,1,26,1.0
85,1,123,1.0
86,1,471,1.0
86,1,159,1.0
90,1,341,1.0
90,1,141,1.0
90,1,118,1.0
91,0,22,1.0
92,1,86,1.0
92,0,171,1.0
93,1,37,1.0
93,1,12,1.0
93,0,42,1.0
93,1,82,1.0
94,1,153,1.0
94,1,41,1.0
94,1,29,1.0
97,0,188,1.0
98,1,22,1.0
99,1,238,1.0
99,1,118,1.0
100,0,35,1.0
100,0,23,1.0
104,0,131,1.0
104,1,193,1.0
105,0,292,1.0
106,0,424,1.0
107,0,744,1.0
107,0,39,1.0
107,0,134,1.0
111,1,71,1.0
111,1,395,1.0
111,0,23,1.0
113,1,317,1.0
117,0,84,1.0
117,0,35,1.0
117,0,69,1.0
117,0,100,1.0
119,0,211,1.0
119,1,213,1.0
120,1,504,1.0
121,1,310,1.0
121,0,35,1.0
121,0,85,1.0
122,1,311,1.0
122,1,222,1.0
124,0,202,1.0
126,1,75,1.0
126,1,70,1.0
129,0,63,1.0
129,0,186,1.0
129,0,155,1.0
129,0,66,1.0
130,0,134,1.0
131,1,693,1.0
132,1,337,1.0
132,0,11,1.0
133,1,444,1.0
136,0,197,1.0
136,0,113,1.0
138,0,99,1.0
138,0,133,1.0
138,1,107,1.0
138,0,27,1.0
139,0,250,1.0
140,0,38,1.0
140,0,88,1.0
140,0,51,1.0
140,0,83,1.0
141,1,837,1.0
141,0,18,1.0
142,1,362,1.0
148,1,35,1.0
148,1,13,1.0
148,1,62,1.0
148,1,195,1.0
150,0,21,1.0
150,0,281,1.0
152,0,11,1.0
152,0,454,1.0
154,0,484,1.0
160,1,160,1.0
160,1,29,1.0
162,1,171,1.0
162,1,306,1.0
166,0,40,1.0
166,0,422,1.0
169,1,24,1.0
171,1,18,1.0
174,0,20,1.0
177,0,28,1.0
179,1,65,1.0
183,1,120,1.0
185,0,301,1.0
187,0,388,1.0
189,0,14,1.0
189,0,84,1.0
191,0,32,1.0
191,1,12,1.0
191,0,25,1.0
192,1,539,1.0
192,1,28,1.0
192,1,83,1.0
193,1,464,1.0
193,1,63,1.0
193,1,53,1.0
194,1,480,1.0
196,0,67,1.0
196,0,47,1.0
196,0,172,1.0
196,0,186,1.0
198,0,133,1.0
198,1,7,1.0
198,0,32,1.0
198,1,126,1.0
198,0,64,1.0
198,0,125,1.0
199,0,56,1.0
199,0,23,1.0
199,0,48,1.0
199,1,176,1.0
200,1,245,1.0
207,1,151,1.0
208,1,381,1.0
210,0,85,1.0
211,0,681,1.0
211,0,41,1.0
212,1,214,1.0
212,1,96,1.0
214,1,217,1.0
216,1,87,1.0
218,1,42,1.0
218,0,14,1.0
221,0,136,1.0
221,0,160,1.0
224,1,392,1.0
225,1,536,1.0
229,0,22,1.0
229,1,38,1.0
229,0,8,1.0
230,1,901,1.0
230,1,28,1.0
231,0,94,1.0
232,0,603,1.0
237,1,497,1.0
238,1,119,1.0
240,0,182,1.0
245,1,169,1.0
245,1,20,1.0
249,0,218,1.0
249,0,71,1.0
251,0,337,1.0
254,0,247,1.0
254,1,231,1.0
255,0,79,1.0
255,1,165,1.0
257,0,25,1.0
258,1,910,1.0
258,1,36,1.0
260,1,301,1.0
260,0,7,1.0
260,0,123,1.0
262,0,77,1.0
264,0,55,1.0
266,1,19,1.0
266,0,89,1.0
269,0,120,1.0
