Episode,Env,Steps,Reward
0,1,17,1.0
0,1,13,1.0
0,0,231,1.0
0,0,95,1.0
1,0,392,1.0
1,0,39,1.0
2,0,467,1.0
2,0,70,1.0
2,0,125,1.0
3,0,53,1.0
3,0,15,1.0
3,0,55,1.0
3,1,59,1.0
5,0,14,1.0
5,0,18,1.0
5,0,425,1.0
6,0,180,1.0
6,0,47,1.0
6,0,3,1.0
6,0,135,1.0
7,0,353,1.0
7,0,195,1.0
8,1,624,1.0
9,0,95,1.0
9,1,221,1.0
11,1,4,1.0
11,1,12,1.0
11,0,175,1.0
11,0,156,1.0
11,0,152,1.0
12,0,4,1.0
12,0,109,1.0
13,1,423,1.0
13,1,62,1.0
13,0,73,1.0
13,0,1,1.0
13,0,78,1.0
13,0,248,1.0
15,0,27,1.0
17,0,115,1.0
17,1,259,1.0
17,0,24,1.0
19,0,3,1.0
19,0,423,1.0
19,0,6,1.0
20,1,97,1.0
20,1,11,1.0
20,1,51,1.0
20,0,178,1.0
21,1,595,1.0
21,1,31,1.0
21,1,31,1.0
22,1,239,1.0
22,1,121,1.0
22,1,1,1.0
22,0,52,1.0
22,0,29,1.0
24,1,282,1.0
26,1,87,1.0
26,1,285,1.0
26,1,10,1.0
27,1,284,1.0
27,1,1,1.0
27,1,46,1.0
27,1,10,1.0
27,1,25,1.0
28,0,253,1.0
28,0,96,1.0
29,1,463,1.0
29,1,420,1.0
29,1,14,1.0
30,0,30,1.0
31,0,860,1.0
32,0,153,1.0
32,0,1,1.0
32,0,34,1.0
32,1,139,1.0
32,0,8,1.0
32,0,18,1.0
32,0,71,1.0
32,0,98,1.0
34,1,10,1.0
34,0,181,1.0
34,0,291,1.0
35,0,366,1.0
36,0,294,1.0
36,1,18,1.0
36,1,74,1.0
36,1,15,1.0
36,1,3,1.0
36,1,21,1.0
36,1,24,1.0
37,1,260,1.0
37,1,303,1.0
37,1,65,1.0
38,0,301,1.0
38,0,31,1.0
38,0,21,1.0
39,0,295,1.0
40,0,514,1.0
40,0,14,1.0
40,0,53,1.0
40,0,133,1.0
40,1,134,1.0
40,0,2,1.0
40,1,11,1.0
40,1,11,1.0
41,0,329,1.0
42,1,254,1.0
43,1,669,1.0
43,1,20,1.0
43,0,61,1.0
43,0,182,1.0
45,0,251,1.0
45,0,199,1.0
46,1,372,1.0
46,1,53,1.0
47,0,589,1.0
48,1,104,1.0
48,1,172,1.0
48,0,77,1.0
49,1,385,1.0
49,1,2,1.0
51,0,0,1.0
51,0,156,1.0
51,0,277,1.0
52,0,315,1.0
52,0,68,1.0
52,0,179,1.0
53,0,220,1.0
53,0,8,1.0
54,1,565,1.0
55,1,501,1.0
55,0,144,1.0
55,0,1,1.0
55,0,25,1.0
55,0,4,1.0
55,1,7,1.0
55,0,25,1.0
56,1,5,1.0
56,0,259,1.0
56,0,1,1.0
57,0,388,1.0
57,0,28,1.0
57,1,93,1.0
58,1,373,1.0
58,1,74,1.0
58,1,131,1.0
58,0,116,1.0
59,1,62,1.0
59,1,9,1.0
59,0,111,1.0
59,0,28,1.0
59,1,107,1.0
59,1,68,1.0
59,1,15,1.0
59,1,63,1.0
60,1,104,1.0
60,0,45,1.0
60,1,0,1.0
60,0,59,1.0
60,1,58,1.0
61,0,347,1.0
62,1,876,1.0
62,1,31,1.0
63,1,74,1.0
63,1,18,1.0
63,0,34,1.0
63,1,22,1.0
63,1,57,1.0
63,1,17,1.0
63,0,40,1.0
63,1,207,1.0
63,1,1,1.0
63,1,3,1.0
64,1,208,1.0
64,0,150,1.0
64,0,97,1.0
64,0,2,1.0
65,1,210,1.0
65,1,3,1.0
65,0,198,1.0
65,0,1,1.0
65,0,64,1.0
67,0,11,1.0
67,0,235,1.0
67,1,6,1.0
67,1,92,1.0
67,0,68,1.0
67,0,80,1.0
68,0,392,1.0
69,1,200,1.0
72,0,7,1.0
72,0,112,1.0
72,1,227,1.0
72,1,4,1.0
72,1,102,1.0
72,1,4,1.0
73,1,172,1.0
73,1,14,1.0
74,1,391,1.0
75,0,644,1.0
75,0,280,1.0
75,0,27,1.0
77,1,20,1.0
77,1,273,1.0
77,1,27,1.0
78,1,344,1.0
78,1,1,1.0
78,1,194,1.0
78,1,26,1.0
78,0,11,1.0
78,1,48,1.0
78,0,14,1.0
78,0,37,1.0
79,1,36,1.0
79,0,52,1.0
79,1,327,1.0
80,1,199,1.0
80,1,70,1.0
80,1,80,1.0
81,1,253,1.0
81,1,1,1.0
81,0,142,1.0
81,0,141,1.0
81,0,125,1.0
82,1,87,1.0
83,0,991,1.0
84,1,127,1.0
84,0,42,1.0
84,0,106,1.0
85,0,227,1.0
85,1,275,1.0
85,1,34,1.0
85,1,162,1.0
87,0,47,1.0
87,0,83,1.0
87,1,363,1.0
88,0,398,1.0
90,1,32,1.0
90,0,146,1.0
90,0,190,1.0
91,1,391,1.0
91,1,191,1.0
91,1,1,1.0
92,1,211,1.0
92,1,238,1.0
93,0,424,1.0
93,1,111,1.0
93,1,51,1.0
94,1,17,1.0
95,0,895,1.0
95,0,2,1.0
96,0,199,1.0
96,1,41,1.0
97,1,825,1.0
98,1,219,1.0
98,1,21,1.0
99,0,564,1.0
99,0,84,1.0
100,0,154,1.0
100,1,309,1.0
100,1,6,1.0
100,1,6,1.0
100,1,7,1.0
100,0,7,1.0
100,0,29,1.0
101,1,541,1.0
102,1,170,1.0
102,0,319,1.0
102,0,50,1.0
104,1,32,1.0
106,0,389,1.0
107,0,211,1.0
107,0,63,1.0
107,0,272,1.0
108,1,70,1.0
108,1,42,1.0
108,1,33,1.0
108,1,19,1.0
108,1,334,1.0
108,1,17,1.0
108,1,11,1.0
108,0,20,1.0
109,0,400,1.0
110,0,584,1.0
111,0,65,1.0
112,0,933,1.0
112,0,16,1.0
113,1,125,1.0
113,0,60,1.0
113,0,58,1.0
113,1,48,1.0
113,0,87,1.0
113,1,107,1.0
114,1,101,1.0
114,1,163,1.0
116,1,195,1.0
118,0,45,1.0
118,0,82,1.0
118,1,222,1.0
118,0,101,1.0
119,1,77,1.0
119,0,100,1.0
119,0,1,1.0
119,1,270,1.0
120,0,171,1.0
120,0,5,1.0
120,0,9,1.0
120,0,26,1.0
120,1,43,1.0
120,1,296,1.0
120,1,11,1.0
121,1,129,1.0
121,0,34,1.0
121,0,100,1.0
122,0,625,1.0
122,1,70,1.0
125,1,43,1.0
125,0,128,1.0
125,0,140,1.0
125,0,95,1.0
125,0,42,1.0
126,0,214,1.0
126,1,105,1.0
127,0,262,1.0
127,0,5,1.0
127,0,218,1.0
127,0,237,1.0
128,1,73,1.0
128,1,124,1.0
128,1,196,1.0
128,1,1,1.0
129,0,292,1.0
130,0,590,1.0
130,0,123,1.0
130,1,73,1.0
133,0,277,1.0
133,1,6,1.0
133,0,4,1.0
133,1,34,1.0
133,1,27,1.0
134,0,187,1.0
134,0,25,1.0
134,1,128,1.0
134,1,225,1.0
134,1,60,1.0
135,1,29,1.0
135,0,113,1.0
135,0,16,1.0
135,1,158,1.0
135,0,67,1.0
135,0,5,1.0
137,1,69,1.0
138,0,765,1.0
138,0,75,1.0
138,0,33,1.0
139,0,82,1.0
139,0,406,1.0
139,0,7,1.0
140,1,257,1.0
140,1,145,1.0
140,0,31,1.0
140,0,1,1.0
140,1,36,1.0
141,0,176,1.0
142,1,533,1.0
143,1,495,1.0
143,0,153,1.0
143,0,134,1.0
143,1,42,1.0
