Episode,Env,Steps,Reward
0,0,499,-0.0015625
0,1,499,-0.0015625
1,0,499,-0.0015625
1,1,499,-0.0015625
2,0,499,-0.0015625
2,1,499,-0.0015625
3,0,49,1.0
3,0,499,-0.0015625
3,1,499,-0.0015625
4,0,499,-0.0015625
4,1,499,-0.0015625
5,0,264,1.0
5,0,499,-0.0015625
5,1,499,-0.0015625
6,0,315,1.0
6,0,499,-0.0015625
6,1,499,-0.0015625
7,0,499,-0.0015625
7,1,499,-0.0015625
8,0,127,1.0
8,0,283,1.0
8,0,499,-0.0015625
8,1,499,-0.0015625
9,0,499,-0.0015625
9,1,499,-0.0015625
10,0,499,-0.0015625
10,1,499,-0.0015625
11,0,355,1.0
11,0,499,-0.0015625
11,1,499,-0.0015625
12,0,174,1.0
12,0,384,1.0
12,0,499,-0.0015625
12,1,499,-0.0015625
